time,F1xx,F1xy,F1xz,M1xz,F1yy,F1zz,M1yy,M1zz,F3x,F3y,F3z,M3z,F3yy,F3zz,M3yy,M3zz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
